n,k,pzl
4,1,16 3 12 13 1 2 4 5 6 7 8 9 10 11 14 15 10 8 14 11 3 6 9 7 1 4 2 15 5 12 16 13 1 2 15 4 8 10 11 12 5 14 13 16 6 3 7 9 7 5 9 6 13 14 15 16 3 10 11 12 2 4 1 8 2 1 4 7 5 11 10 3 8 6 9 14 16 13 15 12 3 6 5 8 15 12 7 4 13 16 1 2 11 9 10 14 11 12 13 16 14 9 8 2 4 15 10 3 1 7 5 6 9 14 10 15 16 13 6 1 12 5 7 11 4 8 3 2 6 7 1 9 10 8 12 15 11 2 4 5 14 16 13 3 4 10 2 12 7 1 16 6 9 3 14 13 8 15 11 5 5 15 11 14 2 3 13 9 7 8 16 1 0 10 6 4 8 13 16 3 11 4 5 14 15 12 6 10 7 2 9 1 13 16 7 2 12 15 3 10 14 1 5 8 9 6 4 11 14 9 8 10 4 16 1 13 2 11 15 6 3 5 12 7 15 4 3 1 6 5 2 11 16 9 12 7 13 14 8 10 12 11 6 5 9 7 14 8 10 13 3 4 15 1 2 16
4,1,2 15 10 5 1 6 3 4 8 7 11 9 16 12 13 14 13 3 11 12 2 5 7 8 1 14 4 16 6 10 15 9 8 7 16 14 9 11 10 12 2 6 15 13 3 4 1 5 9 6 4 1 13 14 16 15 3 5 10 12 2 7 11 8 1 2 3 4 5 13 9 11 6 10 7 8 15 14 12 16 5 9 12 10 6 4 8 7 15 16 1 14 11 3 2 13 6 8 13 16 14 10 15 2 9 11 12 3 1 5 7 4 7 11 14 15 16 3 12 1 5 2 13 4 9 8 10 6 4 1 2 6 7 8 11 9 13 3 14 10 5 15 16 12 3 10 8 9 12 15 13 16 7 1 6 5 4 11 14 2 12 16 5 7 3 2 6 14 11 4 9 15 10 13 8 1 14 13 15 11 4 1 5 10 12 8 16 2 7 6 9 3 10 5 6 3 11 12 2 13 16 9 8 7 14 1 4 15 11 4 7 0 15 16 1 3 14 12 2 6 13 9 5 10 16 12 9 13 10 7 14 6 4 15 5 1 8 2 3 11 15 14 1 2 8 9 4 5 10 13 3 11 12 16 6 7
4,1,10 7 2 15 1 3 4 5 6 8 13 11 12 14 9 16 5 13 11 12 6 2 8 7 4 9 14 16 1 3 10 15 1 9 3 8 10 11 14 16 2 5 15 12 4 6 7 13 14 4 6 16 12 9 13 15 7 1 3 10 2 5 8 11 2 1 4 3 9 6 7 12 10 11 5 8 13 16 15 14 6 11 9 13 5 10 3 8 12 14 16 15 7 1 4 2 7 8 16 14 2 13 15 4 9 3 6 1 10 11 5 12 12 5 15 10 14 16 1 11 13 2 4 7 6 9 3 8 3 2 1 4 8 12 6 10 5 7 0 14 16 15 13 9 8 6 5 9 13 14 16 2 3 15 12 4 11 10 1 7 13 16 14 7 4 15 11 3 1 10 9 6 8 12 2 5 15 10 12 11 7 1 5 9 8 16 2 13 14 4 6 3 4 3 7 2 11 5 10 1 14 12 8 9 15 13 16 6 11 12 8 1 15 4 9 6 16 13 7 5 3 2 14 10 16 14 10 5 3 8 12 13 15 6 1 2 9 7 11 4 9 15 13 6 16 7 2 14 11 4 10 3 5 8 12 1
4,1,10 1 16 15 3 2 4 5 6 7 8 9 11 12 13 14 9 2 7 3 1 0 8 10 11 13 12 14 4 15 5 16 6 5 11 8 7 12 13 14 1 4 16 15 2 3 10 9 14 4 12 13 11 9 16 15 3 2 10 5 8 1 6 7 1 6 2 5 9 4 3 11 8 10 7 13 14 16 12 15 3 7 4 9 12 15 5 1 14 6 2 16 10 11 8 13 11 13 14 16 2 10 7 8 12 15 3 1 5 4 9 6 8 10 15 12 6 13 14 16 4 5 9 11 3 2 7 1 2 3 1 6 5 8 11 13 9 14 15 10 16 7 4 12 4 9 5 10 14 16 15 12 7 3 1 8 13 6 2 11 7 12 8 11 10 1 6 9 2 16 13 4 15 14 3 5 15 16 13 14 4 3 2 7 5 12 11 6 9 10 1 8 5 8 3 1 16 11 12 2 10 9 14 7 6 13 15 4 16 14 10 7 15 5 1 6 13 8 4 2 12 9 11 3 12 15 6 2 13 7 9 4 16 11 5 3 1 8 14 10 13 11 9 4 8 14 10 3 15 1 6 12 7 5 16 2
4,1,14 15 9 7 1 2 3 4 6 5 8 10 11 12 16 13 1 4 3 12 5 6 7 9 2 11 16 13 8 10 14 15 6 8 16 5 10 11 12 13 1 4 14 15 3 2 7 9 11 2 10 13 8 14 15 16 3 7 9 12 1 4 6 5 2 1 4 3 13 16 11 12 7 6 5 9 14 8 15 10 5 6 8 11 9 10 14 7 12 1 15 2 4 16 13 3 7 10 13 15 6 5 4 2 8 14 3 16 12 9 1 11 9 12 14 16 3 15 1 8 10 13 4 11 5 6 2 7 3 5 1 2 7 9 10 15 4 12 6 8 16 13 11 14 4 7 12 9 16 8 13 14 5 3 11 1 6 15 10 2 13 16 6 14 4 12 5 11 15 2 10 7 9 3 8 1 8 11 15 10 2 1 6 3 16 9 13 14 7 5 12 4 10 9 7 8 11 13 16 5 14 15 12 3 2 1 4 0 12 3 11 1 14 4 9 10 13 16 2 6 15 7 5 8 15 14 2 4 12 7 8 6 9 10 1 5 13 11 3 16 16 13 5 6 15 3 2 1 11 8 7 4 10 14 9 12
4,1,5 3 4 8 1 2 7 6 10 9 11 14 12 13 15 16 12 9 1 16 4 3 8 5 2 6 13 15 7 10 11 14 10 11 7 6 9 14 13 15 1 3 12 16 4 2 5 8 2 13 15 14 10 11 12 16 4 7 8 5 1 3 9 6 1 2 3 5 12 9 6 4 7 8 14 11 15 16 13 10 4 6 8 10 11 7 5 1 15 13 16 2 9 14 12 3 0 12 16 15 3 13 14 2 5 10 6 9 8 11 1 4 9 14 11 13 8 16 15 10 3 12 1 4 6 5 7 2 3 5 6 7 13 10 11 12 14 1 4 8 16 15 2 9 8 1 9 4 5 6 16 7 11 15 2 10 14 12 3 13 11 15 14 12 2 1 4 9 6 16 3 13 10 7 8 5 13 16 10 2 14 15 3 8 9 5 7 12 11 6 4 1 6 4 2 9 7 12 10 11 13 14 5 1 3 8 16 15 16 7 5 3 15 4 1 13 8 11 10 6 2 9 14 12 15 8 12 11 6 5 2 14 16 4 9 3 13 1 10 7 14 10 13 1 16 8 9 3 12 2 15 7 5 4 6 11
4,1,2 14 7 9 3 1 4 6 5 8 10 12 11 13 16 15 12 5 15 6 2 8 7 9 1 11 13 16 3 4 14 10 8 1 13 11 5 10 12 16 15 3 4 14 6 2 7 9 16 4 10 3 11 14 13 15 6 7 2 9 5 1 8 12 3 2 4 5 1 13 9 12 7 6 14 8 10 15 11 16 1 6 8 12 4 7 10 5 11 15 16 2 9 14 13 3 11 15 14 16 6 3 8 2 9 10 1 13 4 5 12 7 7 10 9 13 15 11 16 14 12 4 5 3 8 6 1 2 4 3 1 2 9 12 11 10 14 13 7 5 15 16 6 8 5 7 11 8 13 16 14 3 4 2 6 15 12 10 9 1 6 13 12 10 7 2 15 1 8 16 9 11 14 3 4 5 14 9 16 15 8 5 6 4 3 1 12 10 7 11 2 13 9 8 2 1 10 4 3 7 16 5 11 6 13 12 15 14 15 12 5 4 14 6 1 13 2 9 3 7 16 8 10 11 10 11 3 14 16 9 0 8 13 12 15 4 1 7 5 6 13 16 6 7 12 15 5 11 10 14 8 1 2 9 3 4
4,1,10 14 12 13 2 1 3 4 5 6 8 7 9 11 15 16 7 15 9 1 5 6 8 12 2 10 16 11 3 4 14 13 11 8 6 5 7 9 14 16 3 13 4 15 2 1 12 10 2 16 3 4 10 13 11 15 14 1 9 12 5 6 7 8 1 2 4 3 8 14 15 11 7 5 6 9 10 13 16 12 5 6 7 8 9 16 13 10 4 2 12 1 14 15 11 3 9 10 11 15 1 3 12 6 8 16 13 14 0 7 2 5 12 13 14 16 4 2 5 7 10 15 11 3 6 8 9 1 4 1 2 7 12 5 9 14 6 3 15 16 13 10 8 11 3 5 10 12 13 4 16 1 9 11 7 8 15 14 6 2 8 9 13 6 11 15 7 2 12 14 10 5 16 3 1 4 15 11 16 14 3 10 6 8 1 4 2 13 12 9 5 7 6 3 8 11 14 7 2 13 15 12 5 10 1 16 4 9 14 4 15 10 16 12 1 9 11 7 3 2 8 5 13 6 13 12 5 9 15 11 4 3 16 8 1 6 7 2 10 14 16 7 1 2 6 8 10 5 13 9 14 4 11 12 3 15
4,1,8 3 5 14 1 2 4 6 7 10 9 13 11 15 12 16 6 9 10 7 3 5 8 11 1 12 16 15 2 4 14 13 4 16 12 1 7 9 15 13 2 3 11 14 6 5 8 10 11 15 2 13 12 10 14 16 6 4 5 8 3 1 7 9 2 4 3 5 10 16 13 1 9 7 8 6 14 11 15 12 1 6 7 8 4 11 12 15 3 14 2 10 9 16 13 5 9 10 14 11 8 7 3 5 12 0 13 16 4 2 6 1 12 13 15 16 9 14 6 2 11 5 1 4 7 10 3 8 3 1 6 10 5 13 11 12 4 9 14 2 15 8 16 7 7 2 4 9 6 1 10 8 5 16 15 12 13 14 11 3 13 8 16 15 2 3 7 14 10 1 6 11 12 9 5 4 5 14 11 12 15 4 16 9 8 13 3 7 10 6 1 2 10 5 13 4 14 15 2 7 16 6 12 1 8 3 9 11 16 7 8 3 13 6 5 10 15 11 4 9 1 12 2 14 14 12 1 6 11 8 9 3 13 2 10 5 16 7 4 15 15 11 9 2 16 12 1 4 14 8 7 3 5 13 10 6
4,1,16 6 10 4 1 3 2 7 5 8 9 13 11 12 14 15 9 7 14 12 5 4 6 10 1 3 11 15 2 8 13 16 8 11 13 1 9 12 16 15 2 6 4 14 3 7 10 5 15 3 2 5 8 13 11 14 10 7 12 16 4 1 6 9 1 8 3 6 4 2 14 5 9 11 7 10 12 15 16 13 2 4 5 7 6 11 1 13 12 16 15 8 9 10 3 14 10 9 11 15 7 16 3 12 4 13 14 1 5 6 2 8 12 13 16 14 10 9 15 8 3 5 6 2 7 11 1 4 3 1 4 2 12 5 8 11 14 10 16 6 13 9 15 7 5 10 7 16 2 15 13 1 8 4 3 9 6 14 11 12 6 12 8 9 14 7 4 16 13 15 1 0 10 2 5 3 11 14 15 13 3 6 10 9 7 2 5 12 8 16 4 1 4 2 1 3 11 8 9 6 15 14 13 7 16 5 12 10 13 5 6 8 15 14 12 2 16 9 10 3 1 4 7 11 14 16 12 11 13 10 7 4 6 1 8 5 15 3 9 2 7 15 9 10 16 1 5 3 11 12 2 4 14 13 8 6
4,1,14 6 4 7 1 3 2 5 0 10 9 11 12 13 15 16 11 9 1 16 6 4 7 10 3 12 13 15 5 2 14 8 3 5 13 10 8 9 15 12 1 14 16 2 4 6 11 7 15 2 8 12 11 13 14 16 5 4 7 6 1 9 3 10 1 3 2 5 4 14 12 11 6 8 10 9 13 7 16 15 4 7 9 8 10 6 16 3 12 11 15 13 14 1 2 5 6 10 14 15 13 2 5 8 7 16 1 3 9 11 12 4 12 11 16 13 7 1 9 15 14 2 4 5 3 10 8 6 2 1 3 4 5 7 6 13 15 9 12 16 8 14 10 11 5 8 6 11 12 16 10 9 4 1 3 14 7 15 13 2 10 12 15 9 3 8 11 14 2 13 6 7 16 5 4 1 13 16 7 14 2 15 1 4 11 5 8 10 6 12 9 3 7 4 5 2 14 12 13 6 16 15 11 8 10 3 1 9 9 13 11 1 16 5 3 2 10 6 14 4 15 8 7 12 16 15 12 6 9 10 8 7 13 3 2 1 11 4 5 14 8 14 10 3 15 11 4 1 9 7 5 12 2 16 6 13
4,1,14 10 5 12 1 2 6 3 7 4 8 9 11 13 16 15 7 4 16 2 5 8 9 10 1 11 15 13 6 12 3 14 3 8 9 15 4 7 13 11 6 14 12 16 2 5 10 1 1 11 6 13 12 14 16 15 2 3 10 5 7 4 8 9 2 1 3 5 9 12 4 7 8 10 6 14 13 15 11 16 4 6 7 9 8 15 11 16 5 1 13 12 10 14 2 3 8 12 10 11 14 13 3 5 15 7 16 2 1 9 4 6 13 14 15 16 10 1 2 6 3 9 4 11 5 8 7 12 6 7 1 4 13 10 12 14 16 2 5 3 15 11 9 8 5 9 2 14 6 16 15 4 10 13 11 8 12 3 1 7 15 16 12 3 2 11 7 8 4 6 9 1 14 10 5 13 10 13 11 8 3 5 1 9 14 12 7 15 16 2 6 4 12 2 8 6 15 4 5 1 13 16 3 10 9 7 14 11 11 3 4 1 7 9 10 2 12 15 14 6 8 16 13 5 9 5 13 7 16 6 14 12 11 8 2 4 3 1 15 10 16 15 14 10 11 0 8 13 9 5 1 7 4 6 12 2
4,1,13 4 12 11 2 1 3 5 7 6 8 9 10 15 14 16 3 7 8 16 4 6 11 9 1 10 15 14 2 5 12 13 10 5 14 9 7 12 8 15 2 3 13 16 1 4 6 11 1 2 6 15 10 14 16 13 4 5 11 12 7 8 9 3 2 3 4 5 1 11 10 14 8 9 12 7 6 13 16 15 6 1 7 8 13 3 9 4 15 16 10 2 5 12 11 14 9 10 15 12 5 8 6 16 11 13 14 1 3 2 7 4 11 13 16 14 12 15 7 2 3 4 6 5 8 9 1 10 5 6 1 3 11 7 13 10 9 8 2 4 14 16 15 12 4 8 10 7 9 2 14 3 6 12 16 15 11 1 13 5 12 15 9 13 6 16 1 8 14 7 5 11 4 3 10 2 14 16 11 2 15 4 5 12 10 1 3 13 9 7 8 6 8 9 2 6 16 5 12 11 13 14 1 3 15 10 4 7 15 11 5 10 14 13 4 7 16 2 9 8 12 6 3 1 16 12 3 0 8 10 15 1 5 11 7 6 13 14 2 9 7 14 13 1 3 9 2 6 12 15 4 10 16 11 5 8
4,1,14 1 10 11 2 4 3 5 7 6 8 13 9 12 15 16 12 7 9 6 1 8 13 10 3 2 16 15 4 5 14 11 5 2 3 13 6 9 0 16 4 12 11 14 1 8 7 10 16 15 8 4 11 12 14 7 1 5 9 10 2 3 13 6 1 3 5 7 4 2 10 12 8 14 13 6 15 16 11 9 2 4 11 8 5 1 6 9 15 16 12 3 13 14 10 7 6 13 15 16 8 3 11 14 9 7 10 5 12 1 2 4 9 10 12 14 7 15 16 13 11 4 1 2 5 6 3 8 4 6 13 9 10 14 8 11 5 1 3 7 16 15 12 2 3 5 2 10 12 16 7 15 6 11 4 9 14 13 8 1 7 12 14 1 3 13 2 6 10 8 15 16 11 4 9 5 11 8 16 15 9 5 1 4 2 13 14 12 7 10 6 3 8 14 1 2 13 6 9 3 16 15 7 4 10 11 5 12 10 16 4 3 14 7 12 8 13 9 5 11 6 2 1 15 13 11 7 5 15 10 4 2 12 3 6 1 8 9 16 14 15 9 6 12 16 11 5 1 14 10 2 8 3 7 4 13
4,1,11 16 8 1 2 3 4 5 7 6 10 9 12 13 14 15 2 15 12 7 1 6 8 9 4 3 13 14 11 5 10 16 4 14 3 5 7 10 11 13 2 15 12 16 1 6 9 8 6 10 13 9 14 12 16 15 8 1 5 11 2 3 4 7 1 2 6 3 11 4 5 10 9 7 14 8 15 12 16 13 5 4 0 8 9 15 3 16 10 12 1 13 6 2 11 14 9 11 10 13 12 14 6 7 15 16 2 3 4 8 1 5 14 12 15 16 13 8 1 2 11 4 6 5 7 9 3 10 3 5 2 6 10 7 13 12 1 14 8 4 16 11 15 9 7 1 9 11 6 2 15 8 3 10 16 12 13 14 5 4 10 13 4 15 3 16 14 1 5 11 9 2 8 7 6 12 12 8 16 14 4 5 9 11 6 13 15 7 3 10 2 1 8 3 1 2 15 9 10 4 12 5 7 6 14 16 13 11 13 7 14 4 5 11 12 6 16 9 3 1 10 15 8 2 16 9 11 10 8 13 7 3 14 2 4 15 5 1 12 6 15 6 5 12 16 1 2 14 13 8 11 10 9 4 7 3
4,1,3 11 12 16 1 2 5 4 6 7 8 9 10 13 14 15 2 4 9 7 3 10 6 8 1 13 14 15 11 5 12 16 15 13 1 6 7 9 14 11 10 5 12 16 2 3 8 4 10 5 14 8 12 13 15 16 2 3 4 11 1 6 7 9 1 2 5 9 16 8 4 3 7 11 6 10 13 12 15 14 4 3 6 10 2 11 9 14 12 15 16 13 7 8 5 1 7 8 0 12 5 6 13 1 4 14 3 2 9 16 10 11 11 14 16 13 15 7 10 12 8 1 9 5 4 2 3 6 8 1 2 3 4 12 16 9 5 6 15 7 14 11 13 10 5 6 4 14 13 1 3 7 9 10 11 8 16 15 2 12 12 16 7 11 6 15 2 10 3 4 13 14 8 1 9 5 9 10 13 15 8 14 11 5 16 12 2 1 6 7 4 3 13 9 3 1 11 4 8 2 14 16 5 12 15 10 6 7 16 15 8 4 14 5 7 6 11 2 10 3 12 9 1 13 6 7 10 5 9 16 12 13 15 8 1 4 3 14 11 2 14 12 11 2 10 3 1 15 13 9 7 6 5 4 16 8
4,1,8 2 6 12 1 3 4 5 7 9 10 11 13 14 15 16 13 15 3 9 2 6 7 8 1 12 16 14 4 5 10 11 16 14 10 4 9 11 12 15 2 3 5 13 1 6 8 7 1 5 11 7 13 10 14 16 4 6 8 15 2 9 3 12 4 1 5 6 14 9 3 2 8 7 12 10 15 11 16 13 2 3 7 10 16 8 13 12 5 11 15 1 6 4 9 14 9 8 12 13 15 5 11 1 6 16 14 4 3 7 2 10 11 16 14 15 10 7 6 4 9 2 13 3 5 1 12 8 5 4 1 2 7 12 15 10 3 13 9 8 14 16 11 6 3 9 8 14 11 2 16 13 15 5 7 6 12 10 1 4 6 10 13 16 3 1 8 14 0 4 11 2 7 15 5 9 7 12 15 11 5 4 9 6 10 14 1 16 8 2 13 3 10 6 2 1 4 13 5 11 14 8 3 9 16 12 7 15 14 11 4 3 12 16 1 9 13 15 2 7 10 8 6 5 15 13 16 5 8 14 10 7 11 1 6 12 9 3 4 2 12 7 9 8 6 15 2 3 16 10 4 5 11 13 14 1
